n,m,density,prim_avg_time_ms,prim_memory_kib,prim_edges_considered,kruskal_avg_time_ms,kruskal_memory_kib,kruskal_uf_ops
10,21,0.4667,0.052,2.77,42,0.069,2.80,83
20,35,0.1842,0.069,3.48,70,0.053,3.72,203
30,57,0.1310,0.105,4.83,114,0.068,4.79,266
50,94,0.0767,0.161,8.20,188,0.123,6.73,573
75,165,0.0595,0.271,13.33,330,0.214,9.65,1005
100,215,0.0434,0.392,16.95,430,0.289,12.33,1331
150,290,0.0260,0.617,23.02,580,0.404,17.45,1797
200,375,0.0188,0.856,29.31,750,0.525,22.73,2329
300,637,0.0142,1.551,47.70,1274,0.960,35.54,3926
400,765,0.0096,1.983,59.99,1528,1.306,47.40,4776
500,990,0.0079,2.673,72.82,1980,1.629,58.91,6157
